user_id,user_name,company_name,office_name,group_name,guaranteed_team,team_daily_priority,individual_priority,has_assigned_space,requests_3mo,bookings_3mo,rejected_3mo,unused_bookings_3mo,nudge_offences_3mo,approval_rate_pct,rejection_rate_pct,used_rate_pct,company_id,office_id,Underserved Tier
user-00034,User 00034,Company 068,Office 096,Group 016,FALSE,"["""", """", """", """", """", """", """"]",,No,34,14,20,4,0,3,25,1,,0068,A
user-00035,User 00035,Company 043,Office 102,Group 037,FALSE,"["""", """", """", """", """", """", """"]",,No,48,30,18,0,0,12,21,3,,0043,A
user-00036,User 00036,Company 053,Office 038,Group 072,FALSE,"["""", ""3"", ""3"", ""3"", ""3"", ""3"", """"]",3,No,2,1,1,0,0,0,13,0,,0053,Z
user-00037,User 00037,Company 080,Office 028,Group 006,FALSE,"["""", """", """", """", """", """", """"]",,No,50,9,41,3,0,0,20,1,,0080,A
user-00038,User 00038,Company 171,Office 011,Group 027,FALSE,"["""", """", """", """", """", """", """"]",,No,2,0,2,0,0,5,7,0,,0171,Z
user-00039,User 00039,Company 025,Office 022,Group 074,FALSE,"["""", ""2"", ""2"", ""2"", ""2"", ""2"", """"]",2,No,42,42,0,2,0,7,22,4,,0025,A
user-00040,User 00040,Company 032,Office 109,Group 074,TRUE,"["""", """", """", """", """", """", """"]",,No,3,0,3,0,0,0,10,0,,0032,Z
user-00041,User 00041,Company 059,Office 055,Group 015,FALSE,"["""", """", """", """", """", """", """"]",,No,6,2,4,2,0,8,7,0,,0059,Z
user-00042,User 00042,Company 083,Office 037,Group 031,FALSE,"["""", """", """", """", """", """", """"]",,No,53,4,49,1,0,5,14,0,,0083,A
user-00043,User 00043,Company 026,Office 056,Group 036,FALSE,"["""", """", """", """", """", """", """"]",,No,42,22,20,2,0,14,19,5,,0026,B
user-00044,User 00044,Company 058,Office 117,Group 022,FALSE,"["""", """", """", """", """", """", """"]",,No,3,1,2,1,0,12,8,4,,0058,Z
user-00045,User 00045,Company 038,Office 080,Group 018,FALSE,"["""", """", """", """", """", """", """"]",,No,50,35,15,2,0,0,23,1,,0038,A
user-00046,User 00046,Company 014,Office 043,Group 064,FALSE,"["""", """", """", """", """", """", """"]",,No,47,44,3,2,0,5,19,4,,0014,A
user-00047,User 00047,Company 097,Office 082,Group 010,FALSE,"["""", """", """", """", """", """", """"]",,No,1,1,0,0,0,0,7,0,,0097,Z
user-00048,User 00048,Company 161,Office 048,Group 029,FALSE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,4,4,0,0,0,3,13,0,,0161,Z
user-00049,User 00049,Company 122,Office 048,Group 041,FALSE,"["""", """", """", """", """", """", """"]",,No,43,3,40,3,0,12,6,7,,0122,P
user-00050,User 00050,Company 069,Office 120,Group 066,FALSE,"["""", """", """", """", """", """", """"]",,No,37,17,20,7,0,9,14,3,,0069,M
user-00051,User 00051,Company 125,Office 010,Group 053,FALSE,"["""", """", """", """", """", """", """"]",,No,44,17,27,2,0,14,8,0,,0125,M
user-00052,User 00052,Company 057,Office 087,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,47,41,6,2,0,9,19,2,,0057,A
user-00053,User 00053,Company 104,Office 085,Group 062,FALSE,"["""", """", """", """", """", """", """"]",,No,32,5,27,5,0,8,14,0,,0104,B
user-00054,User 00054,Company 071,Office 019,Group 003,TRUE,"["""", """", """", """", """", """", """"]",,No,50,42,8,3,2,15,6,3,,0071,X
user-00055,User 00055,Company 129,Office 019,Group 078,FALSE,"["""", """", """", """", """", """", """"]",,No,47,4,43,2,0,5,18,3,,0129,A
user-00056,User 00056,Company 028,Office 051,Group 035,FALSE,"["""", """", """", """", """", """", """"]",,No,37,21,16,3,0,6,23,8,,0028,B
user-00057,User 00057,Company 061,Office 117,Group 063,FALSE,"["""", """", """", """", """", """", """"]",,No,47,17,30,1,0,0,15,2,,0061,X
user-00058,User 00058,Company 039,Office 059,Group 070,FALSE,"["""", """", """", """", """", """", """"]",,No,58,44,14,9,0,16,4,4,,0039,P
user-00059,User 00059,Company 092,Office 022,Group 014,FALSE,"["""", """", """", """", """", """", """"]",,No,53,33,20,1,0,13,12,0,,0092,A
user-00060,User 00060,Company 163,Office 067,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,21,20,1,4,0,0,18,1,,0163,C
user-00061,User 00061,Company 093,Office 089,Group 028,FALSE,"["""", """", """", """", """", """", """"]",,No,53,43,10,3,0,12,19,2,,0093,A
user-00062,User 00062,Company 024,Office 008,Group 086,FALSE,"["""", """", """", """", """", """", """"]",,No,2,2,0,0,0,0,3,0,,0024,Z
user-00063,User 00063,Company 036,Office 071,Group 083,FALSE,"["""", """", """", """", """", """", """"]",,No,49,9,40,5,0,9,7,0,,0036,A
user-00064,User 00064,Company 043,Office 074,Group 016,FALSE,"["""", """", """", """", """", """", """"]",,No,42,32,10,4,0,13,3,2,,0043,P
user-00065,User 00065,Company 163,Office 043,Group 005,FALSE,"["""", """", """", """", """", """", """"]",,No,40,21,19,1,0,14,19,3,,0163,A
user-00066,User 00066,Company 057,Office 108,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,2,1,1,0,0,0,0,0,,0057,Z
user-00067,User 00067,Company 159,Office 100,Group 027,FALSE,"["""", """", """", """", """", """", """"]",,No,18,15,3,3,0,11,19,0,,0159,C
user-00068,User 00068,Company 061,Office 064,Group 025,FALSE,"["""", """", """", """", """", """", """"]",,No,53,34,19,2,0,0,23,6,,0061,A
user-00069,User 00069,Company 116,Office 002,Group 032,FALSE,"["""", ""1"", ""1"", ""1"", ""1"", ""1"", """"]",1,No,30,21,9,5,0,4,26,1,,0116,B
user-00070,User 00070,Company 068,Office 051,Group 032,FALSE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,39,26,13,10,0,17,0,5,,0068,M
user-00071,User 00071,Company 101,Office 033,Group 080,FALSE,"["""", """", """", """", """", """", """"]",,No,44,38,6,9,1,12,6,2,,0101,M
user-00072,User 00072,Company 134,Office 077,Group 034,FALSE,"["""", """", """", """", """", """", """"]",,No,48,30,18,3,0,13,11,4,,0134,A
user-00073,User 00073,Company 095,Office 072,Group 074,FALSE,"["""", ""3"", ""3"", ""3"", ""3"", ""3"", """"]",3,No,49,48,1,3,0,11,2,7,,0095,P
user-00074,User 00074,Company 125,Office 028,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,52,41,11,4,0,12,23,4,,0125,A
user-00075,User 00075,Company 067,Office 063,Group 005,FALSE,"["""", """", """", """", """", """", """"]",,No,39,33,6,4,0,5,22,2,,0067,B
user-00076,User 00076,Company 152,Office 026,Group 003,FALSE,"["""", """", """", """", """", """", """"]",,No,46,40,6,2,0,4,16,6,,0152,A
user-00077,User 00077,Company 092,Office 031,Group 007,FALSE,"["""", """", """", """", """", """", """"]",,No,21,5,16,2,0,7,12,1,,0092,B
user-00078,User 00078,Company 092,Office 063,Group 046,FALSE,"["""", """", """", """", """", """", """"]",,No,4,3,1,2,0,2,7,0,,0092,Z
user-00079,User 00079,Company 072,Office 046,Group 019,TRUE,"["""", """", """", """", """", """", """"]",,No,55,47,8,2,0,6,15,0,,0072,A
user-00080,User 00080,Company 053,Office 055,Group 057,FALSE,"["""", """", """", """", """", """", """"]",,No,37,18,19,5,0,12,19,3,,0053,B
user-00081,User 00081,Company 099,Office 007,Group 019,TRUE,"["""", """", """", """", """", """", """"]",,No,39,12,27,1,0,15,20,3,,0099,M
user-00082,User 00082,Company 120,Office 008,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,65,54,11,4,0,5,18,2,,0120,A
user-00083,User 00083,Company 079,Office 081,Group 038,FALSE,"["""", """", """", """", """", """", """"]",,No,51,47,4,6,0,3,21,4,,0079,A
user-00084,User 00084,Company 147,Office 063,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,52,19,33,3,0,2,21,2,,0147,A
user-00085,User 00085,Company 165,Office 057,Group 013,FALSE,"["""", """", """", """", """", """", """"]",,No,2,1,1,1,1,0,5,3,,0165,Z
user-00086,User 00086,Company 104,Office 010,Group 058,FALSE,"["""", """", """", """", """", """", """"]",,No,37,4,33,2,0,3,12,5,,0104,B
user-00087,User 00087,Company 116,Office 011,Group 018,FALSE,"["""", """", """", """", """", """", """"]",,No,2,0,2,0,0,13,0,0,,0116,Z
user-00088,User 00088,Company 045,Office 050,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,41,31,10,9,1,21,20,0,,0045,M
user-00089,User 00089,Company 044,Office 117,Group 018,FALSE,"["""", """", """", """", """", """", """"]",,No,35,10,25,1,0,10,16,3,,0044,A
user-00090,User 00090,Company 164,Office 014,Group 082,FALSE,"["""", ""1"", ""1"", ""1"", ""1"", ""1"", """"]",1,No,54,30,24,5,0,6,18,3,,0164,A
user-00091,User 00091,Company 127,Office 077,Group 088,FALSE,"["""", """", """", """", """", """", """"]",,No,42,18,24,6,0,9,19,1,,0127,B
user-00092,User 00092,Company 116,Office 045,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,47,28,19,5,0,5,17,4,,0116,A
user-00093,User 00093,Company 069,Office 078,Group 068,FALSE,"["""", """", """", """", """", """", """"]",,No,44,36,8,1,1,7,11,2,,0069,A
user-00094,User 00094,Company 078,Office 008,Group 010,FALSE,"["""", """", """", """", """", """", """"]",,No,1,0,1,0,0,10,17,0,,0078,Z
user-00095,User 00095,Company 102,Office 015,Group 032,FALSE,"["""", """", """", """", """", """", """"]",,Yes,59,22,37,1,0,13,23,1,,0102,A
user-00096,User 00096,Company 088,Office 073,Group 015,FALSE,"["""", """", """", """", """", """", """"]",,No,31,28,3,5,0,19,11,4,,0088,M
user-00097,User 00097,Company 126,Office 060,Group 004,FALSE,"["""", """", """", """", """", """", """"]",,No,15,9,6,1,0,0,13,3,,0126,C
user-00098,User 00098,Company 131,Office 050,Group 062,FALSE,"["""", """", """", """", """", """", """"]",,Yes,31,19,12,1,0,13,14,3,,0131,A
user-00099,User 00099,Company 088,Office 029,Group 025,FALSE,"["""", """", """", """", """", """", """"]",,No,19,15,4,4,0,8,16,0,,0088,C
user-00100,User 00100,Company 147,Office 070,Group 061,FALSE,"["""", """", """", """", """", """", """"]",,No,39,29,10,3,0,2,20,2,,0147,A
user-00101,User 00101,Company 142,Office 064,Group 060,FALSE,"["""", """", """", """", """", """", """"]",,No,16,9,7,0,0,11,10,0,,0142,C
user-00102,User 00102,Company 049,Office 076,Group 073,FALSE,"["""", """", """", """", """", """", """"]",,No,2,0,2,0,0,4,13,0,,0049,Z
user-00103,User 00103,Company 087,Office 080,Group 015,FALSE,"["""", """", """", """", """", """", """"]",,No,27,10,17,3,2,11,23,5,,0087,B
user-00104,User 00104,Company 133,Office 052,Group 062,FALSE,"["""", """", """", """", """", """", """"]",,No,51,6,45,1,0,0,14,7,,0133,A
user-00105,User 00105,Company 050,Office 072,Group 087,FALSE,"["""", """", """", """", """", """", """"]",,No,52,27,25,5,0,15,16,0,,0050,A
user-00106,User 00106,Company 006,Office 024,Group 028,FALSE,"["""", ""2"", ""2"", ""2"", ""2"", ""2"", """"]",2,Yes,45,36,9,5,0,0,23,3,,0006,A
user-00107,User 00107,Company 140,Office 080,Group 081,FALSE,"["""", """", """", """", """", """", """"]",,No,53,9,44,3,0,19,14,3,,0140,P
user-00108,User 00108,Company 058,Office 018,Group 057,FALSE,"["""", """", """", """", """", """", """"]",,No,3,2,1,1,0,7,15,1,,0058,Z
user-00109,User 00109,Company 037,Office 063,Group 080,FALSE,"["""", """", """", """", """", """", """"]",,No,50,18,32,2,1,13,20,6,,0037,A
user-00110,User 00110,Company 057,Office 113,Group 040,FALSE,"["""", """", """", """", """", """", """"]",,No,2,2,0,2,0,6,8,0,,0057,Z
user-00111,User 00111,Company 064,Office 063,Group 006,FALSE,"["""", """", """", """", """", """", """"]",,No,23,19,4,2,0,0,23,0,,0064,C
user-00112,User 00112,Company 105,Office 046,Group 005,TRUE,"["""", """", """", """", """", """", """"]",,No,40,12,28,3,0,7,22,1,,0105,B
user-00113,User 00113,Company 155,Office 061,Group 004,FALSE,"["""", """", """", """", """", """", """"]",,No,37,34,3,5,0,20,9,2,,0155,M
user-00114,User 00114,Company 004,Office 055,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,12,10,2,1,0,15,9,1,,0004,C
user-00115,User 00115,Company 003,Office 046,Group 042,TRUE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,46,18,28,1,0,0,31,1,,0003,A
user-00116,User 00116,Company 102,Office 075,Group 070,FALSE,"["""", """", """", """", """", """", """"]",,No,4,2,2,0,0,5,7,0,,0102,Z
user-00117,User 00117,Company 002,Office 091,Group 085,FALSE,"["""", """", """", """", """", """", """"]",,No,39,29,10,5,0,10,17,1,,0002,M
user-00118,User 00118,Company 095,Office 087,Group 087,FALSE,"["""", """", """", """", """", """", """"]",,No,41,11,30,10,0,15,21,4,,0095,M
user-00119,User 00119,Company 159,Office 118,Group 020,FALSE,"["""", """", """", """", """", """", """"]",,No,56,40,16,2,0,0,19,0,,0159,A
user-00120,User 00120,Company 161,Office 005,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,33,17,16,2,0,19,11,3,,0161,M
user-00121,User 00121,Company 026,Office 071,Group 058,FALSE,"["""", ""2"", ""2"", ""2"", ""2"", ""2"", """"]",2,No,43,38,5,3,0,5,15,3,,0026,A
user-00122,User 00122,Company 126,Office 032,Group 045,FALSE,"["""", """", """", """", """", """", """"]",,No,59,52,7,2,1,19,17,2,,0126,A
user-00123,User 00123,Company 006,Office 072,Group 083,TRUE,"["""", """", """", """", """", """", """"]",,No,53,49,4,1,0,4,24,1,,0006,A
user-00124,User 00124,Company 003,Office 084,Group 042,FALSE,"["""", ""4"", ""4"", ""4"", ""4"", ""4"", """"]",4,No,52,11,41,1,0,4,12,3,,0003,A
user-00125,User 00125,Company 131,Office 071,Group 088,FALSE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,45,3,42,1,0,11,16,0,,0131,X
user-00126,User 00126,Company 039,Office 011,Group 039,FALSE,"["""", """", """", """", """", """", """"]",,No,1,1,0,0,0,7,10,1,,0039,Z
user-00127,User 00127,Company 117,Office 079,Group 080,FALSE,"["""", """", """", """", """", """", """"]",,No,47,28,19,2,0,12,23,1,,0117,B
user-00128,User 00128,Company 076,Office 030,Group 031,FALSE,"["""", """", """", """", """", """", """"]",,No,54,12,42,4,0,0,24,3,,0076,A
user-00129,User 00129,Company 156,Office 057,Group 028,FALSE,"["""", """", """", """", """", """", """"]",,No,57,57,0,1,0,3,23,3,,0156,A
user-00130,User 00130,Company 061,Office 064,Group 006,FALSE,"["""", """", """", """", """", """", """"]",,No,48,38,10,3,0,13,19,3,,0061,A
user-00131,User 00131,Company 126,Office 036,Group 022,FALSE,"["""", """", """", """", """", """", """"]",,No,3,1,2,0,0,0,5,1,,0126,Z
user-00132,User 00132,Company 071,Office 085,Group 037,FALSE,"["""", """", """", """", """", """", """"]",,No,5,3,2,3,0,9,10,0,,0071,Z
user-00133,User 00133,Company 157,Office 038,Group 079,TRUE,"["""", """", """", """", """", """", """"]",,No,49,23,26,11,1,24,14,2,,0157,M
user-00134,User 00134,Company 168,Office 013,Group 030,FALSE,"["""", """", """", """", """", """", """"]",,Yes,30,28,2,3,0,13,28,3,,0168,B
user-00135,User 00135,Company 110,Office 026,Group 025,FALSE,"["""", ""6"", ""6"", ""6"", ""6"", ""6"", """"]",6,No,33,27,6,5,0,12,24,4,,0110,B
user-00136,User 00136,Company 131,Office 109,Group 067,FALSE,"["""", """", """", """", """", """", """"]",,No,44,9,35,0,0,0,19,2,,0131,A
user-00137,User 00137,Company 171,Office 053,Group 040,FALSE,"["""", """", """", """", """", """", """"]",,No,47,29,18,9,0,11,20,1,,0171,M
user-00138,User 00138,Company 007,Office 118,Group 050,FALSE,"["""", """", """", """", """", """", """"]",,No,50,25,25,3,0,0,14,4,,0007,A
user-00139,User 00139,Company 164,Office 074,Group 022,FALSE,"["""", """", """", """", """", """", """"]",,No,55,50,5,1,0,5,18,2,,0164,X
user-00140,User 00140,Company 097,Office 038,Group 065,FALSE,"["""", """", """", """", """", """", """"]",,No,44,14,30,3,0,2,16,6,,0097,A
user-00141,User 00141,Company 030,Office 058,Group 031,FALSE,"["""", """", """", """", """", """", """"]",,No,29,24,5,3,0,5,20,5,,0030,B
user-00142,User 00142,Company 020,Office 072,Group 009,FALSE,"["""", """", """", """", """", """", """"]",,No,38,21,17,1,1,5,20,2,,0020,X
user-00143,User 00143,Company 118,Office 083,Group 026,FALSE,"["""", """", """", """", """", """", """"]",,No,33,33,0,9,0,16,13,0,,0118,M
user-00144,User 00144,Company 156,Office 083,Group 067,FALSE,"["""", """", """", """", """", """", """"]",,No,37,16,21,0,0,15,14,1,,0156,B
user-00145,User 00145,Company 146,Office 076,Group 005,FALSE,"["""", """", """", """", """", """", """"]",,No,50,43,7,2,0,6,17,1,,0146,A
user-00146,User 00146,Company 067,Office 110,Group 078,FALSE,"["""", """", """", """", """", """", """"]",,No,4,1,3,1,0,0,3,0,,0067,Z
user-00147,User 00147,Company 043,Office 058,Group 064,FALSE,"["""", """", """", """", """", """", """"]",,No,52,23,29,0,0,12,22,1,,0043,A
user-00148,User 00148,Company 030,Office 040,Group 054,FALSE,"["""", """", """", """", """", """", """"]",,No,38,17,21,5,0,0,16,3,,0030,A
user-00149,User 00149,Company 179,Office 051,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,30,20,10,3,0,11,19,4,,0179,B
user-00150,User 00150,Company 126,Office 019,Group 084,FALSE,"["""", """", """", """", """", """", """"]",,No,17,3,14,1,0,10,14,0,,0126,C
user-00151,User 00151,Company 179,Office 005,Group 070,FALSE,"["""", """", """", """", """", """", """"]",,No,42,28,14,8,1,15,18,0,,0179,M
user-00152,User 00152,Company 162,Office 002,Group 067,FALSE,"["""", """", """", """", """", """", """"]",,No,2,1,1,0,0,0,3,2,,0162,Z
user-00153,User 00153,Company 086,Office 043,Group 001,FALSE,"["""", """", """", """", """", """", """"]",,No,2,2,0,1,0,2,13,0,,0086,Z
user-00154,User 00154,Company 166,Office 039,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,36,28,8,5,0,7,20,0,,0166,B
user-00155,User 00155,Company 037,Office 004,Group 089,FALSE,"["""", """", """", """", """", """", """"]",,No,57,19,38,3,0,0,22,1,,0037,A
user-00156,User 00156,Company 162,Office 057,Group 079,FALSE,"["""", """", """", """", """", """", """"]",,No,37,35,2,2,0,1,32,1,,0162,A
user-00157,User 00157,Company 060,Office 029,Group 013,FALSE,"["""", """", """", """", """", """", """"]",,No,35,29,6,3,0,4,13,1,,0060,A
user-00158,User 00158,Company 125,Office 055,Group 079,FALSE,"["""", """", """", """", """", """", """"]",,No,39,16,23,6,0,6,19,0,,0125,B
user-00159,User 00159,Company 038,Office 033,Group 025,FALSE,"["""", """", """", """", """", """", """"]",,Yes,32,19,13,1,0,11,14,4,,0038,B
user-00160,User 00160,Company 128,Office 046,Group 050,FALSE,"["""", """", """", """", """", """", """"]",,No,46,44,2,1,0,0,25,2,,0128,A
user-00161,User 00161,Company 019,Office 030,Group 073,FALSE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,40,33,7,2,0,11,11,1,,0019,A
user-00162,User 00162,Company 038,Office 078,Group 071,FALSE,"["""", """", """", """", """", """", """"]",,No,44,43,1,1,0,7,19,2,,0038,A
user-00163,User 00163,Company 027,Office 060,Group 006,FALSE,"["""", """", """", """", """", """", """"]",,No,50,14,36,4,0,0,14,0,,0027,A
user-00164,User 00164,Company 065,Office 040,Group 071,FALSE,"["""", """", """", """", """", """", """"]",,No,47,36,11,6,2,7,20,6,,0065,A
user-00165,User 00165,Company 093,Office 053,Group 058,FALSE,"["""", """", """", """", """", """", """"]",,No,55,15,40,6,0,7,22,4,,0093,A
user-00166,User 00166,Company 021,Office 009,Group 010,FALSE,"["""", """", """", """", """", """", """"]",,No,45,40,5,3,0,4,13,6,,0021,A
user-00167,User 00167,Company 104,Office 111,Group 087,FALSE,"["""", """", """", """", """", """", """"]",,No,19,7,12,0,0,0,11,2,,0104,C
user-00168,User 00168,Company 101,Office 016,Group 017,FALSE,"["""", """", """", """", """", """", """"]",,No,1,1,0,0,0,1,1,0,,0101,Z
user-00169,User 00169,Company 090,Office 098,Group 005,FALSE,"["""", """", """", """", """", """", """"]",,No,7,7,0,1,0,5,21,0,,0090,C
user-00170,User 00170,Company 150,Office 010,Group 019,FALSE,"["""", """", """", """", """", """", """"]",,No,2,2,0,1,0,14,12,0,,0150,Z
user-00171,User 00171,Company 064,Office 026,Group 090,FALSE,"["""", """", """", """", """", """", """"]",,No,45,29,16,1,0,0,20,3,,0064,A
user-00172,User 00172,Company 091,Office 069,Group 084,FALSE,"["""", """", """", """", """", """", """"]",,No,19,15,4,1,0,6,13,0,,0091,C
user-00173,User 00173,Company 130,Office 114,Group 062,FALSE,"["""", """", """", """", """", """", """"]",,No,53,28,25,0,0,1,14,0,,0130,A
user-00174,User 00174,Company 003,Office 016,Group 003,FALSE,"["""", """", """", """", """", """", """"]",,No,39,27,12,2,0,17,19,5,,0003,A
user-00175,User 00175,Company 108,Office 010,Group 087,FALSE,"["""", """", """", """", """", """", """"]",,Yes,41,10,31,3,0,4,20,1,,0108,B
user-00176,User 00176,Company 045,Office 023,Group 027,FALSE,"["""", """", """", """", """", """", """"]",,No,32,5,27,4,0,4,22,7,,0045,B
user-00177,User 00177,Company 150,Office 100,Group 055,FALSE,"["""", """", """", """", """", """", """"]",,No,51,35,16,3,0,11,10,1,,0150,P
user-00178,User 00178,Company 162,Office 097,Group 037,FALSE,"["""", """", """", """", """", """", """"]",,No,52,20,32,1,0,12,15,2,,0162,A
user-00179,User 00179,Company 089,Office 070,Group 026,FALSE,"["""", """", """", """", """", """", """"]",,No,59,25,34,1,0,15,20,2,,0089,A
user-00180,User 00180,Company 099,Office 052,Group 037,FALSE,"["""", """", """", """", """", """", """"]",,No,6,6,0,3,0,5,5,3,,0099,Z
user-00181,User 00181,Company 162,Office 057,Group 017,FALSE,"["""", """", """", """", """", """", """"]",,No,4,4,0,1,0,10,11,0,,0162,Z
user-00182,User 00182,Company 045,Office 035,Group 002,FALSE,"["""", ""3"", ""3"", ""3"", ""3"", ""3"", """"]",3,No,40,11,29,9,0,20,12,1,,0045,B
